premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary,salary_from,salary_to,salary_currency,salary_gross,id
False,Москва,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 180000, 'to': 250000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2021-10-07T12:06:52+0300,2021-10-07T12:06:52+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=48434078,,https://api.hh.ru/areas/1,https://hh.ru/vacancy/48434078,[],"{'id': '1664868', 'name': 'CORE', 'url': 'https://api.hh.ru/employers/1664868', 'alternate_url': 'https://hh.ru/employer/1664868', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/589183.png', '240': 'https://hhcdn.ru/employer-logo/2797988.png', '90': 'https://hhcdn.ru/employer-logo/2797987.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1664868', 'trusted': True}","{'requirement': 'Знание и опыт применения классических алгоритмов машинного обучения. Знание алгоритмов глубокого обучения. Владение Python и основными библиотеками для работы с...', 'responsibility': 'Сбор, обработка и визуализация данных. Разработка моделей машинного обучения. Оценка качества и совершенствование моделей. Вывод моделей в продакшн. '}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False,180000.0,250000.0,RUR,False,1
False,Москва,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 400000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': '17-й проезд Марьиной Рощи', 'building': '4к1', 'description': None, 'lat': 55.80916, 'lng': 37.612021, 'raw': 'Москва, 17-й проезд Марьиной Рощи, 4к1', 'metro': {'station_name': 'Бутырская ', 'line_name': 'Люблинско-Дмитровская', 'station_id': '10.546', 'line_id': '10', 'lat': 55.813333, 'lng': 37.602778}, 'metro_stations': [{'station_name': 'Бутырская ', 'line_name': 'Люблинско-Дмитровская', 'station_id': '10.546', 'line_id': '10', 'lat': 55.813333, 'lng': 37.602778}, {'station_name': 'Марьина Роща', 'line_name': 'Люблинско-Дмитровская', 'station_id': '10.185', 'line_id': '10', 'lat': 55.793723, 'lng': 37.61618}], 'id': '682986'}",,,2021-10-07T14:38:10+0300,2021-10-07T14:38:10+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=48612849,,https://api.hh.ru/areas/1,https://hh.ru/vacancy/48612849,[],"{'id': '1939023', 'name': 'Премьер Аналитика', 'url': 'https://api.hh.ru/employers/1939023', 'alternate_url': 'https://hh.ru/employer/1939023', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/1610110.png', 'original': 'https://hhcdn.ru/employer-logo-original/291929.png', '240': 'https://hhcdn.ru/employer-logo/1610111.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1939023', 'trusted': True}","{'requirement': 'Понимание технологий ML, AI. Опыт работы в IT с большими массивами данных, например в cashback сервисах, операторах фискальных данных. ', 'responsibility': 'Изучение потребностей клиентов. Подготовка и защита бизнес-кейса по продукту (бизнес-планирование). Формирование команды разработчиков. Управление рабочей группой по созданию...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,400000.0,,RUR,False,1
False,Москва,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 3000, 'to': 5000, 'currency': 'USD', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2021-10-07T10:40:21+0300,2021-10-07T10:40:21+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=47888798,,https://api.hh.ru/areas/1,https://hh.ru/vacancy/47888798,[],"{'id': '250', 'name': 'COMTEK Inc.', 'url': 'https://api.hh.ru/employers/250', 'alternate_url': 'https://hh.ru/employer/250', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/462338.png', '90': 'https://hhcdn.ru/employer-logo/2291212.png', '240': 'https://hhcdn.ru/employer-logo/2291213.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=250', 'trusted': True}","{'requirement': 'Опыт не менее 3 лет. Технические навыки: Python - обязательно. SQL - обязательно. Dashboarding - обязательно (желательно Power BI). AWS - желательно (они используют...', 'responsibility': None}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,3000.0,5000.0,USD,True,1
False,Москва,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': None, 'to': 2000, 'currency': 'USD', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2021-10-06T12:21:58+0300,2021-10-06T12:21:58+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=48566210,,https://api.hh.ru/areas/1,https://hh.ru/vacancy/48566210,[],"{'id': '747028', 'name': 'IT_Selection', 'url': 'https://api.hh.ru/employers/747028', 'alternate_url': 'https://hh.ru/employer/747028', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/871766.jpeg', '90': 'https://hhcdn.ru/employer-logo/3927939.jpeg', '240': 'https://hhcdn.ru/employer-logo/3927940.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=747028', 'trusted': True}","{'requirement': 'Bachelor’s or Master’s Degree in technical field: Computer Science / Statistics / Mathematics / Physics / other (economics, biology etc). ', 'responsibility': 'Formalization of the business needs into ML / optimization problems. Undertaking the preprocessing of structured and unstructured data. Development and validation...'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],True,,2000.0,USD,True,1
False,Москва,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2021-10-06T17:15:39+0300,2021-10-06T17:15:39+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=48582787,,https://api.hh.ru/areas/1,https://hh.ru/vacancy/48582787,[],"{'id': '5488399', 'name': 'Самокат (ООО Умное пространство)', 'url': 'https://api.hh.ru/employers/5488399', 'alternate_url': 'https://hh.ru/employer/5488399', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/3944400.png', '90': 'https://hhcdn.ru/employer-logo/3944399.png', 'original': 'https://hhcdn.ru/employer-logo-original/875881.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5488399', 'trusted': True}","{'requirement': 'Есть понимание прикладных задач, зачем нужно построить модель. Понимание, что не всегда и не везде важны сотые доли точности, а...', 'responsibility': 'Данные уже собраны.'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,,,,,1
False,Москва,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': None, 'to': 350000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2021-10-06T14:30:54+0300,2021-10-06T14:30:54+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=48573627,,https://api.hh.ru/areas/1,https://hh.ru/vacancy/48573627,[],"{'id': '2497484', 'name': 'Glassford Global', 'url': 'https://api.hh.ru/employers/2497484', 'alternate_url': 'https://hh.ru/employer/2497484', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/3766635.jpeg', '240': 'https://hhcdn.ru/employer-logo/3766636.jpeg', 'original': 'https://hhcdn.ru/employer-logo-original/831438.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2497484', 'trusted': True}","{'requirement': 'Уверенный уровень владения Python, опыт построения моделей на Python. Опыт работы в банках / на банковских проектах будет существенным плюсом. ', 'responsibility': 'Сбор и анализ данных клиента. Разработка алгоритмов рейтинговой модели на основе Python. Тестирование результатов рейтинговой модели.'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],True,,350000.0,RUR,True,1
False,Москва,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': None, 'to': 300000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2021-10-07T16:16:43+0300,2021-10-07T16:16:43+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=45191074,,https://api.hh.ru/areas/1,https://hh.ru/vacancy/45191074,[],"{'id': '2324020', 'name': 'Точка', 'url': 'https://api.hh.ru/employers/2324020', 'alternate_url': 'https://hh.ru/employer/2324020', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/3414734.jpeg', '90': 'https://hhcdn.ru/employer-logo/3414733.jpeg', 'original': 'https://hhcdn.ru/employer-logo-original/743443.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2324020', 'trusted': True}","{'requirement': 'Ты будешь доставать данные из баз и других источников, приводить их к нужному виду, анализировать и затем строить модели. ', 'responsibility': 'Придумывать и проверять гипотезы, которые позволят построить новые скоринговые модели и улучшить текущие. В результате они должны определять благонадёжность компаний...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,,300000.0,RUR,False,1
False,Москва,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 100000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Минская улица', 'building': '2Ж', 'description': None, 'lat': 55.724104, 'lng': 37.504564, 'raw': 'Москва, Минская улица, 2Ж', 'metro': {'station_name': 'Минская', 'line_name': 'Солнцевская', 'station_id': '133.555', 'line_id': '133', 'lat': 55.7232, 'lng': 37.5038}, 'metro_stations': [{'station_name': 'Минская', 'line_name': 'Солнцевская', 'station_id': '133.555', 'line_id': '133', 'lat': 55.7232, 'lng': 37.5038}], 'id': '2463702'}",,,2021-10-09T09:08:59+0300,2021-10-09T09:08:59+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=48118086,,https://api.hh.ru/areas/1,https://hh.ru/vacancy/48118086,[],"{'id': '3474648', 'name': 'SharesPro', 'url': 'https://api.hh.ru/employers/3474648', 'alternate_url': 'https://hh.ru/employer/3474648', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/3909355.jpeg', '240': 'https://hhcdn.ru/employer-logo/3909356.jpeg', 'original': 'https://hhcdn.ru/employer-logo-original/867120.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3474648', 'trusted': True}","{'requirement': 'Высшее экономическое, финансовое, математическое, IT, физико-техническое образование или образование в смежных дисциплинах. Хорошие знания Python 3. Опыт работы с...', 'responsibility': 'Анализ финансовой отчетности компаний. Комплексное финансовое моделирование: моделирование развития отраслей, макроэкономическое моделирование, построение моделей прогнозов. Проверка компаний на value criteria...'}",,"{'id': 'flexible', 'name': 'Гибкий график'}",[],[],[],False,100000.0,,RUR,False,1
False,Москва,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': None, 'to': 500000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2021-10-08T13:42:51+0300,2021-10-08T13:42:51+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=42956307,,https://api.hh.ru/areas/1,https://hh.ru/vacancy/42956307,[],"{'id': '2223982', 'name': 'РАБЛЗ', 'url': 'https://api.hh.ru/employers/2223982', 'alternate_url': 'https://hh.ru/employer/2223982', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/886758.png', '240': 'https://hhcdn.ru/employer-logo/3987732.png', '90': 'https://hhcdn.ru/employer-logo/3987731.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2223982', 'trusted': True}","{'requirement': 'Опыт использования ml библиотек на Python (бустинг, нейронные сети и др.) и понимание особенностей реализации различных аспектов алгоритмов в коде. ', 'responsibility': 'Моделирование и обработка данных на Python для извлечения бизнес-ценности из данных. Глубокое обсуждение задач и методов их решения совместно...'}",,"{'id': 'flexible', 'name': 'Гибкий график'}",[],[],[],False,,500000.0,RUR,True,1
False,Москва,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 120000, 'to': 200000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2021-10-08T15:10:05+0300,2021-10-08T15:10:05+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=48051751,,https://api.hh.ru/areas/1,https://hh.ru/vacancy/48051751,[],"{'id': '839098', 'name': 'Автоматизация и Консалтинг', 'url': 'https://api.hh.ru/employers/839098', 'alternate_url': 'https://hh.ru/employer/839098', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/3298900.jpeg', '240': 'https://hhcdn.ru/employer-logo/3298901.jpeg', 'original': 'https://hhcdn.ru/employer-logo-original/714446.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=839098', 'trusted': True}","{'requirement': 'Опыт работы в ML от 1,5 лет. Уверенные навыки программирования на Python (не менее 1 года). Хорошие знания линейной...', 'responsibility': 'Разработка и улучшение ML/DL моделей. Обучение моделей на больших данных. Написание, проведение и анализ экспериментов. Оценка качества моделей. '}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],True,120000.0,200000.0,RUR,True,1
